Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n351-k40;25896;25948;0.2008;25948;0.2008;25934;0.1467;25945;0.1892;25949;0.2047
X-n439-k37;36391;36395;0.011;36395;0.011;36395;0.011;36395;0.011;36395;0.011
X-n491-k59;66487;66593;0.1594;66593;0.1594;66650;0.2452;66626;0.2091;66607;0.1805
X-n459-k26;24139;24157;0.0746;24157;0.0746;24168;0.1201;24154;0.0621;24176;0.1533
X-n469-k138;221824;222062;0.1073;222062;0.1073;222040;0.0974;222087;0.1186;222331;0.2286
X-n480-k70;89449;89500;0.057;89500;0.057;89583;0.1498;89511;0.0693;89514;0.0727
X-n491-k59;66487;66626;0.2091;66626;0.2091;66659;0.2587;66597;0.1654;66626;0.2091
X-n513-k21;24201;24201;0;24201;0;24201;0;24201;0;24201;0
X-n524-k153;154593;154760;0.108;154760;0.108;154717;0.0802;154837;0.1578;154757;0.1061
X-n536-k96;94868;95124;0.2698;95124;0.2698;95046;0.1876;95051;0.1929;95136;0.2825
X-n548-k50;86700;86786;0.0992;86786;0.0992;86768;0.0784;86750;0.0577;86757;0.0657
X-n561-k42;42717;42729;0.0281;42729;0.0281;42772;0.1288;42775;0.1358;42726;0.0211
X-n573-k30;50673;50793;0.2368;50799;0.2487;50871;0.3907;50863;0.375;50775;0.2013
X-n586-k159;190316;190533;0.114;190589;0.1434;190570;0.1335;190571;0.134;190475;0.0835
X-n599-k92;108451;108753;0.2785;108754;0.2794;108679;0.2102;108620;0.1558;108686;0.2167
X-n613-k62;59535;59705;0.2855;59705;0.2855;59616;0.1361;59701;0.2788;59659;0.2083
X-n627-k43;62164;62393;0.3684;62400;0.3796;62414;0.4022;62354;0.3056;62450;0.4601
X-n641-k35;63694;63806;0.1758;63808;0.179;63953;0.4066;63890;0.3077;63732;0.0597
X-n685-k75;68205;68368;0.239;68368;0.239;68337;0.1935;68386;0.2654;68334;0.1891
X-n701-k44;81923;82396;0.5774;82488;0.6897;82220;0.3625;82201;0.3393;82367;0.542
X-n716-k35;43387;43518;0.3019;43519;0.3042;43494;0.2466;43446;0.136;43559;0.3964
X-n783-k48;72394;72761;0.5069;72761;0.5069;72849;0.6285;72799;0.5594;72889;0.6838
X-n801-k40;73305;73501;0.2674;73501;0.2674;73565;0.3547;73502;0.2687;73431;0.1719
X-n837-k142;193737;194383;0.3334;194383;0.3334;194215;0.2467;194440;0.3629;194284;0.2823
X-n856-k95;88965;88990;0.0281;88990;0.0281;88999;0.0382;89076;0.1248;89086;0.136
X-n876-k59;99299;99671;0.3746;99671;0.3746;99749;0.4532;99576;0.279;99704;0.4079
X-n895-k37;53860;54035;0.3249;54100;0.4456;54063;0.3769;54179;0.5923;54262;0.7464
X-n936-k151;132725;133616;0.6713;133616;0.6713;133314;0.4438;133464;0.5568;133354;0.4739
X-n979-k58;118987;119183;0.1647;119245;0.2168;119367;0.3194;119475;0.4101;119301;0.2639
X-n1001-k43;72359;72594;0.3248;72710;0.4851;72668;0.427;72631;0.3759;72790;0.5956
