Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_1111_02;38374;38507;0.3466;38507;0.3466;38507;0.3466;38507;0.3466;38525;0.3935
XML100_1114_16;12053;12359;2.5388;12359;2.5388;12387;2.7711;12353;2.489;12344;2.4143
XML100_1114_17;13124;13357;1.7754;13357;1.7754;13308;1.402;13543;3.1926;13384;1.9811
XML100_1114_25;15367;15574;1.347;15574;1.347;15690;2.1019;15607;1.5618;15699;2.1605
XML100_1115_15;11299;11501;1.7878;11501;1.7878;11543;2.1595;11506;1.832;11496;1.7435
XML100_1115_16;11643;12590;8.1336;12590;8.1336;12499;7.3521;12570;7.9619;12462;7.0343
XML100_1115_17;10879;11231;3.2356;11231;3.2356;11040;1.4799;11034;1.4248;11047;1.5443
XML100_1115_18;9504;9681;1.8624;9681;1.8624;9722;2.2938;9668;1.7256;9660;1.6414
XML100_1115_19;10345;10594;2.407;10594;2.407;10597;2.436;10594;2.407;10561;2.088
XML100_1115_20;11093;11222;1.1629;11222;1.1629;11249;1.4063;11293;1.8029;11285;1.7308
XML100_1115_21;10493;10756;2.5064;10756;2.5064;10824;3.1545;10788;2.8114;10846;3.3641
XML100_1115_23;10217;10577;3.5235;10577;3.5235;10592;3.6704;10583;3.5823;10589;3.641
XML100_1115_24;11055;11227;1.5559;11227;1.5559;11280;2.0353;11253;1.791;11280;2.0353
XML100_1115_25;10794;11057;2.4365;11057;2.4365;11095;2.7886;11079;2.6404;11039;2.2698
XML100_1115_26;13358;13756;2.9795;13756;2.9795;13702;2.5752;13741;2.8672;13801;3.3164
XML100_1115_27;9325;9422;1.0402;9422;1.0402;9655;3.5389;9612;3.0777;9360;0.3753
XML100_1116_01;8383;8414;0.3698;8414;0.3698;8414;0.3698;8530;1.7535;8411;0.334
XML100_1116_03;8463;8642;2.1151;8642;2.1151;8613;1.7724;8605;1.6779;8581;1.3943
XML100_1116_05;8766;8979;2.4298;8979;2.4298;8964;2.2587;8969;2.3158;8992;2.5781
XML100_1116_06;10099;10482;3.7925;10482;3.7925;10482;3.7925;10423;3.2082;10450;3.4756
XML100_1116_07;8423;8565;1.6859;8565;1.6859;8586;1.9352;8570;1.7452;8478;0.653
XML100_1116_08;8620;8918;3.4571;8918;3.4571;8924;3.5267;8912;3.3875;8941;3.7239
XML100_1116_09;8889;9100;2.3737;9100;2.3737;9109;2.475;9127;2.6775;9136;2.7787
XML100_1116_10;9105;9466;3.9649;9466;3.9649;9383;3.0533;9292;2.0538;9423;3.4926
XML100_1116_11;8873;8956;0.9354;8956;0.9354;8956;0.9354;8956;0.9354;8956;0.9354
XML100_1116_12;9471;9624;1.6155;9624;1.6155;9686;2.2701;9599;1.3515;9599;1.3515
XML100_1116_13;9528;9619;0.9551;9619;0.9551;9619;0.9551;9619;0.9551;9619;0.9551
XML100_1116_14;9375;9661;3.0507;9661;3.0507;9616;2.5707;9576;2.144;9759;4.096
XML100_1124_23;11090;11489;3.5978;11489;3.5978;11561;4.2471;11445;3.2011;11509;3.7782
XML100_1151_07;51004;53208;4.3212;53208;4.3212;53161;4.2291;53029;3.9703;53208;4.3212
XML100_1151_17;29815;31366;5.2021;31366;5.2021;31366;5.2021;31366;5.2021;31366;5.2021
XML100_1151_19;28023;28966;3.3651;28966;3.3651;28966;3.3651;28966;3.3651;28966;3.3651
XML100_1155_20;10264;10463;1.9388;10463;1.9388;10503;2.3285;10561;2.8936;10414;1.4614
XML100_1212_04;22310;22435;0.5603;22435;0.5603;22362;0.2331;22369;0.2645;22366;0.251
XML100_1215_05;8607;9066;5.3329;9066;5.3329;8993;4.4847;9051;5.1586;9011;4.6939
XML100_1231_11;24076;25023;3.9334;25023;3.9334;25019;3.9168;24971;3.7174;25019;3.9168
XML100_1251_05;44365;47311;6.6404;47311;6.6404;46096;3.9017;47217;6.4285;47313;6.6449
XML100_1251_08;32294;33406;3.4434;33406;3.4434;33396;3.4124;33403;3.4341;33401;3.4279
XML100_1251_09;32767;34242;4.5015;34242;4.5015;34242;4.5015;34242;4.5015;34242;4.5015
XML100_1251_10;33394;34497;3.303;34497;3.303;34319;2.77;34413;3.0514;34292;2.6891
XML100_1251_11;46670;48314;3.5226;48314;3.5226;48322;3.5397;48295;3.4819;48314;3.5226
XML100_1251_13;42458;43380;2.1716;43380;2.1716;43398;2.214;43428;2.2846;43476;2.3977
XML100_1251_15;47940;49475;3.2019;49475;3.2019;49573;3.4063;49513;3.2812;49604;3.471
XML100_1251_16;36111;37211;3.0462;37211;3.0462;37211;3.0462;37222;3.0766;37211;3.0462
XML100_1251_17;38923;39893;2.4921;39893;2.4921;39703;2.004;39665;1.9063;39888;2.4793
XML100_1251_21;29479;30998;5.1528;30998;5.1528;30967;5.0477;30998;5.1528;30974;5.0714
XML100_1252_16;23744;24844;4.6327;24844;4.6327;24830;4.5738;24830;4.5738;24828;4.5654
XML100_1261_07;21667;22403;3.3969;22403;3.3969;22404;3.4015;22403;3.3969;22374;3.263
XML100_1264_08;8302;8410;1.3009;8410;1.3009;8448;1.7586;8415;1.3611;8410;1.3009
XML100_1313_01;16912;17050;0.816;17050;0.816;17026;0.6741;17067;0.9165;17023;0.6563
XML100_1315_06;10760;11083;3.0019;11083;3.0019;11120;3.3457;11026;2.4721;11087;3.039
XML100_1322_07;20679;21034;1.7167;21034;1.7167;21062;1.8521;21054;1.8134;21062;1.8521
XML100_1351_02;34605;35746;3.2972;35746;3.2972;35740;3.2799;35688;3.1296;35688;3.1296
XML100_1351_16;31822;32797;3.0639;32797;3.0639;32788;3.0356;32777;3.0011;32797;3.0639
XML100_1353_22;17465;18274;4.6321;18274;4.6321;18294;4.7466;18237;4.4203;18265;4.5806
XML100_1363_03;12902;13099;1.5269;13099;1.5269;13131;1.7749;13047;1.1239;13081;1.3874
XML100_1363_04;18960;19244;1.4979;19244;1.4979;19212;1.3291;19211;1.3238;19189;1.2078
XML100_1363_06;12537;12698;1.2842;12698;1.2842;12747;1.675;12753;1.7229;12710;1.3799
XML100_1363_07;15310;15561;1.6395;15561;1.6395;15437;0.8295;15437;0.8295;15561;1.6395
XML100_1363_08;19809;20667;4.3314;20667;4.3314;20486;3.4176;20499;3.4833;20482;3.3974
XML100_1363_11;12207;12385;1.4582;12385;1.4582;12389;1.4909;12381;1.4254;12365;1.2943
XML100_1363_17;13944;14113;1.212;14113;1.212;14141;1.4128;14111;1.1976;14223;2.0009
XML100_1363_19;13617;13853;1.7331;13853;1.7331;13808;1.4027;13769;1.1163;13779;1.1897
XML100_1363_24;18643;19147;2.7034;19147;2.7034;19147;2.7034;19147;2.7034;19147;2.7034
XML100_1363_25;13771;13935;1.1909;13935;1.1909;14030;1.8808;14012;1.7501;14058;2.0841
XML100_1364_02;13715;14011;2.1582;14011;2.1582;14079;2.654;14026;2.2676;13966;1.8301
XML100_1364_03;13203;13304;0.765;13304;0.765;13267;0.4847;13410;1.5678;13322;0.9013
XML100_1364_06;14206;14206;0;14206;0;14206;0;14209;0.0211;14206;0
XML100_1364_07;11811;12238;3.6153;12238;3.6153;12377;4.7921;12242;3.6491;12251;3.7253
XML100_1364_08;12805;13156;2.7411;13156;2.7411;13037;1.8118;13033;1.7806;13089;2.2179
XML100_1364_09;12460;12789;2.6404;12789;2.6404;12667;1.6613;12696;1.8941;12729;2.1589
XML100_1364_10;13559;13812;1.8659;13812;1.8659;13734;1.2907;13790;1.7037;13697;1.0178
XML100_1364_11;13832;14076;1.764;14076;1.764;13969;0.9905;13994;1.1712;13984;1.0989
XML100_1364_12;10731;10976;2.2831;10976;2.2831;11024;2.7304;10951;2.0501;11091;3.3548
XML100_1364_13;11936;12171;1.9688;12171;1.9688;12213;2.3207;12141;1.7175;12213;2.3207
XML100_2112_11;19664;19713;0.2492;19713;0.2492;19714;0.2543;19714;0.2543;19714;0.2543
XML100_2112_12;19746;19857;0.5621;19857;0.5621;19857;0.5621;19900;0.7799;19900;0.7799
XML100_2112_14;15995;16075;0.5002;16075;0.5002;16075;0.5002;16112;0.7315;16075;0.5002
XML100_2112_16;15269;15434;1.0806;15434;1.0806;15449;1.1789;15434;1.0806;15434;1.0806
XML100_2112_19;15941;16109;1.0539;16109;1.0539;16098;0.9849;16182;1.5118;16098;0.9849
XML100_2112_20;19261;19360;0.514;19360;0.514;19360;0.514;19360;0.514;19360;0.514
