Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_1111_02;38374;38464;0.234534;38464;0.234534;38464;0.234534;38464;0.234534;38464;0.234534
XML100_1114_16;12053;12122;0.572472;12122;0.572472;12122;0.572472;12122;0.572472;12122;0.572472
XML100_1114_17;13124;13128;0.0304785;13128;0.0304785;13128;0.0304785;13124;0;13128;0.0304785
XML100_1114_25;15367;15443;0.494566;15539;1.11928;15443;0.494566;15539;1.11928;15539;1.11928
XML100_1115_15;11299;11393;0.831932;11299;0;11299;0;11299;0;11299;0
XML100_1115_16;11643;11643;0;11643;0;11643;0;11643;0;11643;0
XML100_1115_17;10879;10879;0;11013;1.23173;10879;0;10879;0;10879;0
XML100_1115_18;9504;9504;0;9504;0;9504;0;9504;0;9504;0
XML100_1115_19;10345;10352;0.0676655;10352;0.0676655;10352;0.0676655;10352;0.0676655;10352;0.0676655
XML100_1115_20;11093;11093;0;11093;0;11093;0;11093;0;11093;0
XML100_1115_21;10493;10551;0.552749;10551;0.552749;10551;0.552749;10551;0.552749;10551;0.552749
XML100_1115_23;10217;10217;0;10217;0;10217;0;10217;0;10217;0
XML100_1115_24;11055;11055;0;11055;0;11055;0;11055;0;11055;0
XML100_1115_25;10794;10853;0.5466;10853;0.5466;10853;0.5466;10853;0.5466;10852;0.537336
XML100_1115_26;13358;13386;0.209612;13386;0.209612;13386;0.209612;13386;0.209612;13386;0.209612
XML100_1115_27;9325;9325;0;9325;0;9325;0;9325;0;9325;0
XML100_1116_01;8383;8383;0;8383;0;8383;0;8383;0;8383;0
XML100_1116_03;8463;8463;0;8463;0;8463;0;8463;0;8463;0
XML100_1116_05;8766;8766;0;8766;0;8766;0;8780;0.159708;8766;0
XML100_1116_06;10099;10099;0;10099;0;10099;0;10099;0;10099;0
XML100_1116_07;8423;8423;0;8423;0;8423;0;8423;0;8423;0
XML100_1116_08;8620;8620;0;8620;0;8620;0;8620;0;8620;0
XML100_1116_09;8889;8889;0;8889;0;8889;0;8889;0;8889;0
XML100_1116_10;9105;9105;0;9105;0;9105;0;9105;0;9105;0
XML100_1116_11;8873;8873;0;8873;0;8873;0;8873;0;8873;0
XML100_1116_12;9471;9471;0;9471;0;9471;0;9471;0;9471;0
XML100_1116_13;9528;9528;0;9528;0;9528;0;9528;0;9528;0
XML100_1116_14;9375;9375;0;9375;0;9375;0;9375;0;9375;0
XML100_1124_23;11090;11090;0;11090;0;11090;0;11090;0;11090;0
XML100_1151_07;51004;51261;0.503882;51261;0.503882;51261;0.503882;51261;0.503882;51261;0.503882
XML100_1151_17;29815;30005;0.637263;30005;0.637263;30005;0.637263;30005;0.637263;30005;0.637263
XML100_1151_19;28023;28109;0.306891;28109;0.306891;28109;0.306891;28109;0.306891;28109;0.306891
