Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n101-k25;27591;27591;0;27591;0;27597;0.0217;27591;0;27591;0
X-n106-k14;26362;26362;0;26383;0.0797;26385;0.0872;26383;0.0797;26383;0.0797
X-n110-k13;14971;14971;0;14971;0;14971;0;14971;0;14971;0
X-n115-k10;12747;12747;0;12747;0;12747;0;12747;0;12747;0
X-n120-k6;13332;13332;0;13332;0;13332;0;13332;0;13332;0
X-n125-k30;55539;55692;0.2755;56019;0.8643;56019;0.8643;55883;0.6194;55883;0.6194
X-n129-k18;28940;28948;0.0276;28948;0.0276;28971;0.1071;28995;0.19;28948;0.0276
X-n134-k13;10916;10933;0.1557;10934;0.1649;10933;0.1557;10933;0.1557;10944;0.2565
X-n139-k10;13590;13590;0;13590;0;13590;0;13590;0;13590;0
X-n143-k7;15700;15726;0.1656;15729;0.1847;15726;0.1656;15726;0.1656;15726;0.1656
X-n148-k46;43448;43614;0.3821;43474;0.0598;43545;0.2233;43569;0.2785;43700;0.58
X-n153-k22;21220;21225;0.0236;21268;0.2262;21337;0.5514;21311;0.4288;21225;0.0236
X-n157-k13;16876;16876;0;16876;0;16876;0;16876;0;16876;0
X-n162-k11;14138;14171;0.2334;14171;0.2334;14171;0.2334;14156;0.1273;14153;0.1061
X-n167-k10;20557;20583;0.1265;20557;0;20557;0;20583;0.1265;20557;0
X-n172-k51;45607;45607;0;45607;0;45607;0;45692;0.1864;45607;0
X-n176-k26;47812;47825;0.0272;48169;0.7467;48140;0.686;47962;0.3137;47856;0.092
X-n181-k23;25569;25589;0.0782;25570;0.0039;25573;0.0156;25571;0.0078;25569;0
X-n186-k15;24145;24149;0.0166;24176;0.1284;24164;0.0787;24149;0.0166;24168;0.0953
X-n190-k8;16980;16989;0.053;16989;0.053;16989;0.053;17014;0.2002;16987;0.0412
X-n195-k51;44225;44420;0.4409;44270;0.1018;44360;0.3053;44402;0.4002;44353;0.2894
X-n200-k36;58578;58659;0.1383;58884;0.5224;59718;1.9461;58862;0.4848;59239;1.1284
X-n204-k19;19565;19604;0.1993;19570;0.0256;19579;0.0716;19600;0.1789;19570;0.0256
X-n209-k16;30656;30710;0.1761;30710;0.1761;30686;0.0979;30706;0.1631;30685;0.0946
X-n214-k11;10856;10914;0.5343;10870;0.129;10907;0.4698;10934;0.7185;10917;0.5619
X-n219-k73;117595;117609;0.0119;117606;0.0094;117606;0.0094;117595;0;117604;0.0077
X-n223-k34;40437;40545;0.2671;40517;0.1978;40505;0.1682;40542;0.2597;40542;0.2597
X-n228-k23;25742;25743;0.0039;25808;0.2564;25782;0.1554;25794;0.202;25807;0.2525
X-n233-k16;19230;19340;0.572;19331;0.5252;19344;0.5928;19324;0.4888;19331;0.5252
X-n237-k14;27042;27042;0;27043;0.0037;27042;0;27050;0.0296;27042;0
X-n242-k48;82751;83020;0.3251;82825;0.0894;82966;0.2598;82928;0.2139;83045;0.3553
X-n247-k50;37274;37532;0.6922;37596;0.8639;37553;0.7485;37599;0.8719;37481;0.5553
X-n251-k28;38684;38829;0.3748;38841;0.4059;38699;0.0388;38853;0.4369;38834;0.3878
X-n256-k16;18839;18880;0.2176;18880;0.2176;18880;0.2176;18880;0.2176;18880;0.2176
X-n261-k13;26558;26672;0.4292;26747;0.7116;26633;0.2824;26684;0.4744;26691;0.5008
X-n266-k58;75478;75989;0.677;75951;0.6267;75642;0.2173;75785;0.4067;75913;0.5763
X-n270-k35;35291;35388;0.2749;35413;0.3457;35324;0.0935;35413;0.3457;35324;0.0935
X-n275-k28;21245;21293;0.2259;21245;0;21245;0;21245;0;21311;0.3107
X-n280-k17;33503;33660;0.4686;33601;0.2925;33682;0.5343;33632;0.385;33635;0.394
X-n284-k15;20215;20326;0.5491;20295;0.3957;20290;0.371;20326;0.5491;20381;0.8212
X-n289-k60;95151;95882;0.7683;95586;0.4572;95782;0.6632;95670;0.5454;95670;0.5454
X-n294-k50;47161;47266;0.2226;47361;0.4241;47267;0.2248;47273;0.2375;47354;0.4092
X-n298-k31;34231;34336;0.3067;34276;0.1315;34349;0.3447;34319;0.2571;34308;0.2249
X-n303-k21;21736;21819;0.3819;21833;0.4463;21832;0.4417;21853;0.5383;21955;1.0075
X-n308-k13;25859;25903;0.1702;25876;0.0657;25911;0.2011;25953;0.3635;25868;0.0348
X-n313-k71;94043;94698;0.6965;94660;0.6561;94589;0.5806;94933;0.9464;94365;0.3424
X-n317-k53;78355;78414;0.0753;78379;0.0306;78388;0.0421;78396;0.0523;78402;0.06
X-n322-k28;29834;29909;0.2514;29921;0.2916;29973;0.4659;29998;0.5497;30052;0.7307
X-n327-k20;27532;27681;0.5412;27595;0.2288;27662;0.4722;27588;0.2034;27665;0.4831
X-n331-k15;31102;31197;0.3054;31103;0.0032;31105;0.0096;31105;0.0096;31146;0.1415
X-n336-k84;139111;139917;0.5794;139926;0.5859;139896;0.5643;140361;0.8986;139848;0.5298
X-n344-k43;42050;42247;0.4685;42273;0.5303;42295;0.5826;42346;0.7039;42194;0.3424
X-n351-k40;25896;26092;0.7569;26029;0.5136;25993;0.3746;26077;0.6989;25992;0.3707
X-n359-k29;51505;51870;0.7087;51700;0.3786;51659;0.299;51753;0.4815;51837;0.6446
X-n367-k17;22814;22850;0.1578;22858;0.1929;22858;0.1929;22814;0;22842;0.1227
X-n376-k94;147713;147749;0.0244;147773;0.0406;147749;0.0244;147726;0.0088;147743;0.0203
X-n384-k52;65940;66205;0.4019;66163;0.3382;66189;0.3776;66186;0.3731;66301;0.5475
X-n393-k38;38260;38402;0.3711;38331;0.1856;38323;0.1647;38480;0.575;38384;0.3241
X-n401-k29;66163;66309;0.2207;66313;0.2267;66306;0.2161;66326;0.2464;66354;0.2887
X-n411-k19;19712;19765;0.2689;19782;0.3551;19783;0.3602;19880;0.8523;19828;0.5885
X-n420-k130;107798;108144;0.321;107948;0.1391;108093;0.2737;108125;0.3033;108030;0.2152
X-n429-k61;65449;65720;0.4141;65763;0.4798;65794;0.5271;65630;0.2766;65707;0.3942
X-n439-k37;36391;36395;0.011;36444;0.1456;36479;0.2418;36395;0.011;36395;0.011
X-n449-k29;55233;55605;0.6735;55644;0.7441;55531;0.5395;55588;0.6427;55546;0.5667
X-n459-k26;24139;24224;0.3521;24223;0.348;24220;0.3356;24228;0.3687;24219;0.3314
X-n469-k138;221824;224689;1.2916;224490;1.2019;224757;1.3222;224360;1.1432;224398;1.1604
X-n480-k70;89449;89782;0.3723;89853;0.4517;89852;0.4505;89880;0.4818;89823;0.4181
X-n491-k59;66487;66863;0.5655;66767;0.4211;66941;0.6828;66670;0.2752;66901;0.6227
X-n502-k39;69226;69245;0.0274;69288;0.0896;69270;0.0636;69270;0.0636;69243;0.0246
X-n513-k21;24201;24247;0.1901;24273;0.2975;24267;0.2727;24288;0.3595;24294;0.3843
X-n524-k153;154593;155279;0.4437;155312;0.4651;155259;0.4308;155435;0.5447;155377;0.5071
X-n536-k96;94868;95656;0.8306;95735;0.9139;95744;0.9234;95660;0.8348;95686;0.8623
X-n548-k50;86700;86821;0.1396;86824;0.143;86867;0.1926;86748;0.0554;86777;0.0888
X-n561-k42;42717;42843;0.295;42900;0.4284;42828;0.2598;42988;0.6344;42961;0.5712
X-n573-k30;50673;50819;0.2881;50827;0.3039;50796;0.2427;50863;0.375;50929;0.5052
X-n586-k159;190316;191709;0.7319;191430;0.5853;191506;0.6253;191369;0.5533;192009;0.8896
X-n599-k92;108451;109043;0.5459;109185;0.6768;109014;0.5191;109146;0.6408;109018;0.5228
X-n613-k62;59535;59878;0.5761;59857;0.5409;59945;0.6887;59952;0.7004;59773;0.3998
X-n627-k43;62164;62299;0.2172;62335;0.2751;62474;0.4987;62441;0.4456;62375;0.3394
X-n641-k35;63694;63913;0.3438;63941;0.3878;63907;0.3344;63845;0.2371;64042;0.5464
X-n655-k131;106780;106814;0.0318;106807;0.0253;106819;0.0365;106829;0.0459;106829;0.0459
X-n670-k130;146332;148043;1.1693;147539;0.8248;148266;1.3217;147286;0.6519;148105;1.2116
X-n685-k75;68205;68620;0.6085;68543;0.4956;68655;0.6598;68662;0.67;68603;0.5835
X-n701-k44;81923;82348;0.5188;82326;0.4919;82328;0.4944;82345;0.5151;82397;0.5786
X-n716-k35;43387;43666;0.643;43683;0.6822;43725;0.779;43660;0.6292;43635;0.5716
X-n733-k159;136190;136999;0.594;136783;0.4354;136537;0.2548;136760;0.4185;136773;0.4281
X-n749-k98;77314;77846;0.6881;77876;0.7269;77994;0.8795;77870;0.7191;77832;0.67
X-n766-k71;114454;115199;0.6509;114913;0.401;115206;0.657;115155;0.6125;115218;0.6675
X-n783-k48;72394;72914;0.7183;72950;0.768;72894;0.6907;72962;0.7846;72674;0.3868
X-n801-k40;73305;73450;0.1978;73378;0.0996;73492;0.2551;73458;0.2087;73456;0.206
X-n819-k171;158121;159519;0.8841;159235;0.7045;159264;0.7229;159619;0.9474;159533;0.893
X-n837-k142;193737;194761;0.5286;194700;0.4971;194952;0.6271;194733;0.5141;194652;0.4723
X-n856-k95;88965;89156;0.2147;89111;0.1641;89136;0.1922;89181;0.2428;89082;0.1315
X-n876-k59;99299;99714;0.4179;99740;0.4441;99763;0.4673;99750;0.4542;99713;0.4169
X-n895-k37;53860;54305;0.8262;54399;1.0007;54304;0.8244;54300;0.8169;54208;0.6461
X-n916-k207;329179;331011;0.5565;331355;0.661;331287;0.6404;332060;0.8752;331596;0.7343
X-n936-k151;132725;133746;0.7693;134109;1.0428;134012;0.9697;133627;0.6796;133780;0.7949
X-n957-k87;85465;85600;0.158;85601;0.1591;85619;0.1802;85570;0.1229;85588;0.1439
X-n979-k58;118987;119348;0.3034;119555;0.4774;119396;0.3437;120342;1.1388;119396;0.3437
X-n1001-k43;72359;72808;0.6205;72972;0.8472;72971;0.8458;72845;0.6717;72841;0.6661
