Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n101-k25;27591;33247;20.4994;33514;21.4671;32450;17.6108;32842;19.0316;32903;19.2527
X-n106-k14;26362;26418;0.2124;26397;0.1328;26392;0.1138;26424;0.2352;26397;0.1328
X-n110-k13;14971;14971;0;14971;0;14971;0;14971;0;14971;0
X-n115-k10;12747;12747;0;12747;0;12747;0;12747;0;12747;0
X-n120-k6;13332;13340;0.06;13332;0;13341;0.0675;13341;0.0675;13332;0
X-n125-k30;55539;55653;0.2053;55882;0.6176;55973;0.7814;55820;0.506;55888;0.6284
X-n129-k18;28940;29029;0.3075;28991;0.1762;28971;0.1071;28980;0.1382;28940;0
X-n134-k13;10916;10994;0.7145;10947;0.284;11005;0.8153;10964;0.4397;11002;0.7878
X-n139-k10;13590;13592;0.0147;13590;0;13590;0;13610;0.1472;13608;0.1325
X-n143-k7;15700;15730;0.1911;15821;0.7707;15764;0.4076;15726;0.1656;15794;0.5987
X-n148-k46;43448;43729;0.6468;43586;0.3176;43787;0.7802;43647;0.458;43844;0.9114
X-n153-k22;21220;21726;2.3845;21539;1.5033;21502;1.3289;21494;1.2912;21545;1.5316
X-n157-k13;16876;16876;0;16885;0.0533;16900;0.1422;16890;0.083;16876;0
X-n162-k11;14138;14147;0.0637;14147;0.0637;14156;0.1273;14150;0.0849;14147;0.0637
X-n167-k10;20557;20675;0.574;20751;0.9437;20622;0.3162;20557;0;20704;0.7151
X-n172-k51;45607;47643;4.4642;47330;3.7779;47754;4.7076;47330;3.7779;47978;5.1988
X-n176-k26;47812;48080;0.5605;48240;0.8952;48193;0.7969;48130;0.6651;48015;0.4246
X-n181-k23;25569;25626;0.2229;25618;0.1916;25643;0.2894;25606;0.1447;25635;0.2581
X-n186-k15;24145;24250;0.4349;24223;0.323;24227;0.3396;24202;0.2361;24205;0.2485
X-n190-k8;16980;17186;1.2132;17043;0.371;17167;1.1013;17159;1.0542;17091;0.6537
