Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n101-k25;27591;27591;0;27591;0;27591;0;27591;0;27591;0
X-n106-k14;26362;26381;0.0721;26381;0.0721;26370;0.0303;26375;0.0493;26374;0.0455
X-n110-k13;14971;14971;0;14971;0;14971;0;14971;0;14971;0
X-n115-k10;12747;12747;0;12747;0;12747;0;12747;0;12747;0
X-n120-k6;13332;13332;0;13332;0;13332;0;13332;0;13332;0
X-n125-k30;55539;55539;0;55539;0;55539;0;55539;0;55539;0
X-n129-k18;28940;28940;0;28940;0;28940;0;28940;0;28940;0
X-n134-k13;10916;10916;0;10916;0;10916;0;10916;0;10916;0
X-n139-k10;13590;13590;0;13590;0;13590;0;13590;0;13590;0
X-n143-k7;15700;15700;0;15700;0;15700;0;15700;0;15700;0
X-n148-k46;43448;43448;0;43448;0;43448;0;43448;0;43448;0
X-n153-k22;21220;21225;0.0236;21225;0.0236;21225;0.0236;21225;0.0236;21225;0.0236
X-n157-k13;16876;16876;0;16876;0;16876;0;16876;0;16876;0
X-n162-k11;14138;14138;0;14138;0;14138;0;14138;0;14138;0
X-n167-k10;20557;20557;0;20557;0;20557;0;20557;0;20557;0
X-n172-k51;45607;45607;0;45607;0;45607;0;45607;0;45607;0
X-n176-k26;47812;47812;0;47812;0;47812;0;47812;0;47812;0
X-n181-k23;25569;25569;0;25569;0;25569;0;25569;0;25569;0
X-n186-k15;24145;24145;0;24145;0;24145;0;24145;0;24145;0
X-n190-k8;16980;16985;0.0294;16985;0.0294;16980;0;16984;0.0236;16987;0.0412
X-n195-k51;44225;44225;0;44225;0;44225;0;44225;0;44237;0.0271
X-n200-k36;58578;58578;0;58578;0;58578;0;58578;0;58578;0
X-n204-k19;19565;19565;0;19565;0;19565;0;19565;0;19565;0
X-n209-k16;30656;30656;0;30656;0;30656;0;30656;0;30656;0
X-n214-k11;10856;10862;0.0553;10862;0.0553;10866;0.0921;10873;0.1566;10856;0
X-n219-k73;117595;117595;0;117595;0;117595;0;117595;0;117595;0
X-n223-k34;40437;40437;0;40437;0;40437;0;40437;0;40437;0
X-n228-k23;25742;25743;0.0039;25743;0.0039;25743;0.0039;25743;0.0039;25743;0.0039
X-n233-k16;19230;19230;0;19230;0;19230;0;19230;0;19230;0
X-n237-k14;27042;27042;0;27042;0;27042;0;27042;0;27042;0
X-n242-k48;82751;82833;0.0991;82833;0.0991;82841;0.1088;82853;0.1233;82768;0.0205
X-n247-k50;37274;37305;0.0832;37305;0.0832;37282;0.0215;37278;0.0107;37278;0.0107
X-n251-k28;38684;38749;0.168;38749;0.168;38684;0;38687;0.0078;38684;0
X-n256-k16;18839;18839;0;18839;0;18839;0;18839;0;18852;0.069
X-n261-k13;26558;26558;0;26558;0;26567;0.0339;26558;0;26571;0.0489
X-n266-k58;75478;75603;0.1656;75603;0.1656;75595;0.155;75610;0.1749;75610;0.1749
X-n270-k35;35291;35303;0.034;35303;0.034;35303;0.034;35303;0.034;35303;0.034
X-n275-k28;21245;21245;0;21245;0;21245;0;21245;0;21245;0
X-n280-k17;33503;33584;0.2418;33584;0.2418;33537;0.1015;33585;0.2448;33536;0.0985
X-n284-k15;20215;20262;0.2325;20262;0.2325;20260;0.2226;20257;0.2078;20217;0.0099
X-n289-k60;95151;95269;0.124;95269;0.124;95269;0.124;95309;0.1661;95238;0.0914
X-n294-k50;47161;47187;0.0551;47187;0.0551;47199;0.0806;47167;0.0127;47171;0.0212
X-n298-k31;34231;34231;0;34231;0;34242;0.0321;34258;0.0789;34231;0
X-n303-k21;21736;21748;0.0552;21748;0.0552;21743;0.0322;21750;0.0644;21744;0.0368
X-n308-k13;25859;25862;0.0116;25862;0.0116;25876;0.0657;25892;0.1276;25893;0.1315
X-n313-k71;94043;94085;0.0447;94085;0.0447;94116;0.0776;94142;0.1053;94093;0.0532
X-n317-k53;78355;78355;0;78355;0;78355;0;78355;0;78355;0
X-n322-k28;29834;29857;0.0771;29857;0.0771;29864;0.1006;29834;0;29856;0.0737
X-n327-k20;27532;27535;0.0109;27535;0.0109;27535;0.0109;27532;0;27553;0.0763
X-n331-k15;31102;31103;0.0032;31103;0.0032;31103;0.0032;31105;0.0096;31103;0.0032
X-n336-k84;139111;139299;0.1351;139299;0.1351;139249;0.0992;139412;0.2164;139335;0.161
X-n344-k43;42050;42101;0.1213;42101;0.1213;42072;0.0523;42078;0.0666;42094;0.1046
X-n351-k40;25896;25948;0.2008;25948;0.2008;25952;0.2162;25939;0.166;25951;0.2124
X-n359-k29;51505;51578;0.1417;51578;0.1417;51690;0.3592;51612;0.2077;51571;0.1281
X-n367-k17;22814;22814;0;22814;0;22814;0;22814;0;22814;0
X-n376-k94;147713;147718;0.0034;147718;0.0034;147713;0;147718;0.0034;147713;0
X-n384-k52;65940;66039;0.1501;66039;0.1501;65975;0.0531;66065;0.1896;66061;0.1835
X-n393-k38;38260;38260;0;38260;0;38260;0;38260;0;38260;0
X-n401-k29;66163;66334;0.2585;66334;0.2585;66277;0.1723;66229;0.0998;66213;0.0756
X-n411-k19;19712;19722;0.0507;19722;0.0507;19720;0.0406;19719;0.0355;19732;0.1015
X-n420-k130;107798;107858;0.0557;107858;0.0557;107825;0.025;107870;0.0668;107818;0.0186
X-n429-k61;65449;65497;0.0733;65497;0.0733;65501;0.0795;65490;0.0626;65497;0.0733
X-n439-k37;36391;36395;0.011;36395;0.011;36402;0.0302;36402;0.0302;36395;0.011
X-n449-k29;55233;55353;0.2173;55353;0.2173;55408;0.3168;55348;0.2082;55343;0.1992
X-n459-k26;24139;24176;0.1533;24176;0.1533;24139;0;24163;0.0994;24161;0.0911
X-n469-k138;221824;222062;0.1073;222062;0.1073;222133;0.1393;222162;0.1524;222342;0.2335
X-n480-k70;89449;89500;0.057;89500;0.057;89507;0.0648;89499;0.0559;89528;0.0883
X-n491-k59;66487;66658;0.2572;66658;0.2572;66659;0.2587;66671;0.2767;66626;0.2091
X-n502-k39;69226;69234;0.0116;69234;0.0116;69267;0.0592;69256;0.0433;69250;0.0347
X-n513-k21;24201;24201;0;24201;0;24201;0;24201;0;24201;0
X-n524-k153;154593;154760;0.108;154760;0.108;154746;0.099;154837;0.1578;154648;0.0356
X-n536-k96;94868;95042;0.1834;95042;0.1834;95046;0.1876;95051;0.1929;95136;0.2825
X-n548-k50;86700;86748;0.0554;86748;0.0554;86768;0.0784;86745;0.0519;86757;0.0657
X-n561-k42;42717;42729;0.0281;42729;0.0281;42734;0.0398;42719;0.0047;42752;0.0819
X-n573-k30;50673;50802;0.2546;50800;0.2506;50873;0.3947;50863;0.375;50777;0.2052
X-n586-k159;190316;190649;0.175;190649;0.175;190570;0.1335;190571;0.134;190475;0.0835
X-n599-k92;108451;108797;0.319;108797;0.319;108686;0.2167;108663;0.1955;108686;0.2167
X-n613-k62;59535;59754;0.3679;59754;0.3679;59691;0.262;59713;0.299;59646;0.1864
X-n627-k43;62164;62401;0.3812;62401;0.3812;62409;0.3941;62354;0.3056;62450;0.4601
X-n641-k35;63694;63873;0.281;63873;0.281;63953;0.4066;63890;0.3077;63869;0.2748
X-n655-k131;106780;106812;0.03;106812;0.03;106830;0.0468;106810;0.0281;106830;0.0468
X-n670-k130;146332;146998;0.4551;146998;0.4551;146675;0.2344;146755;0.2891;146754;0.2884
X-n685-k75;68205;68418;0.3123;68418;0.3123;68343;0.2023;68284;0.1158;68314;0.1598
X-n701-k44;81923;82488;0.6897;82488;0.6897;82220;0.3625;82201;0.3393;82298;0.4577
X-n716-k35;43387;43519;0.3042;43519;0.3042;43494;0.2466;43446;0.136;43559;0.3964
X-n733-k159;136190;136432;0.1777;136432;0.1777;136441;0.1843;136397;0.152;136526;0.2467
X-n749-k98;77314;77655;0.4411;77655;0.4411;77728;0.5355;77606;0.3777;77600;0.3699
X-n766-k71;114454;114746;0.2551;114739;0.249;114842;0.339;114765;0.2717;114773;0.2787
X-n783-k48;72394;72763;0.5097;72763;0.5097;72849;0.6285;72799;0.5594;72889;0.6838
X-n801-k40;73305;73501;0.2674;73501;0.2674;73565;0.3547;73502;0.2687;73431;0.1719
X-n819-k171;158121;158601;0.3036;158601;0.3036;158595;0.2998;158554;0.2738;158511;0.2466
X-n837-k142;193737;194383;0.3334;194383;0.3334;194261;0.2705;194440;0.3629;194295;0.288
X-n856-k95;88965;88990;0.0281;88990;0.0281;88999;0.0382;89076;0.1248;89086;0.136
