Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n101-k25;27591;27659;0.2465;27591;0;27591;0;27659;0.2465;27591;0
X-n106-k14;26362;26381;0.0721;26381;0.0721;26391;0.11;26386;0.091;26381;0.0721
X-n110-k13;14971;14971;0;14971;0;14971;0;14971;0;15050;0.5277
X-n115-k10;12747;12747;0;12747;0;12747;0;12747;0;12785;0.2981
X-n120-k6;13332;13332;0;13332;0;13371;0.2925;13332;0;13332;0
X-n125-k30;55539;55679;0.2521;56004;0.8372;56145;1.0911;55979;0.7922;56021;0.8679
X-n129-k18;28940;28948;0.0276;29067;0.4388;28954;0.0484;28971;0.1071;29041;0.349
X-n134-k13;10916;10976;0.5497;10981;0.5955;10937;0.1924;11000;0.7695;10975;0.5405
X-n139-k10;13590;13612;0.1619;13602;0.0883;13671;0.596;13669;0.5813;13643;0.39
X-n143-k7;15700;15726;0.1656;15726;0.1656;15768;0.4331;15897;1.2548;15832;0.8408
X-n148-k46;43448;43568;0.2762;43641;0.4442;43448;0;43706;0.5938;43448;0
X-n153-k22;21220;21249;0.1367;21228;0.0377;21297;0.3629;21234;0.066;21231;0.0518
X-n157-k13;16876;16876;0;16876;0;16876;0;16883;0.0415;16894;0.1067
X-n162-k11;14138;14171;0.2334;14180;0.2971;14171;0.2334;14171;0.2334;14278;0.9902
X-n167-k10;20557;20601;0.214;20784;1.1042;20647;0.4378;20747;0.9243;20787;1.1188
X-n172-k51;45607;45891;0.6227;46108;1.0985;45941;0.7323;46052;0.9757;45715;0.2368
X-n176-k26;47812;47951;0.2907;48266;0.9496;48067;0.5333;48228;0.8701;48055;0.5082
X-n181-k23;25569;25638;0.2699;25601;0.1252;25643;0.2894;25632;0.2464;25665;0.3755
X-n186-k15;24145;24430;1.1804;24196;0.2112;24207;0.2568;24189;0.1822;24261;0.4804
X-n190-k8;16980;17074;0.5536;17263;1.6667;17039;0.3475;17103;0.7244;17008;0.1649
X-n195-k51;44225;44295;0.1583;44766;1.2233;44556;0.7484;44514;0.6535;44462;0.5359
X-n200-k36;58578;58782;0.3483;58953;0.6402;58754;0.3005;58924;0.5907;58911;0.5685
X-n204-k19;19565;19700;0.69;19768;1.0376;19795;1.1756;19756;0.9762;19776;1.0785
X-n209-k16;30656;31009;1.1515;31048;1.2787;31051;1.2885;30993;1.0993;31018;1.1808
X-n214-k11;10856;11200;3.1688;11036;1.6581;11090;2.1555;11166;2.8556;11164;2.8371
X-n219-k73;117595;117754;0.1352;117708;0.0961;117622;0.023;117734;0.1182;117622;0.023
X-n223-k34;40437;40803;0.9051;40805;0.9101;40873;1.0782;40576;0.3437;40731;0.7271
X-n228-k23;25742;25850;0.4195;25863;0.47;26086;1.3363;26069;1.2703;25816;0.2875
X-n233-k16;19230;19321;0.4732;19380;0.78;19524;1.5289;19422;0.9984;19380;0.78
X-n237-k14;27042;27251;0.7729;27233;0.7063;27209;0.6176;27056;0.0518;27072;0.1109
X-n242-k48;82751;83428;0.8181;83416;0.8036;83217;0.5631;83254;0.6078;83277;0.6356
X-n247-k50;37274;37379;0.2817;37433;0.4266;37320;0.1234;37444;0.4561;37358;0.2254
X-n251-k28;38684;39191;1.3106;38909;0.5816;38956;0.7031;38932;0.6411;39180;1.2822
X-n256-k16;18839;19167;1.7411;19104;1.4067;19216;2.0012;18939;0.5308;19065;1.1996
